Serotype,2014n,2014p,2015n,2015p,2017n,2017p,2018n,2018p,2019n,2019p,2021n,2021p
1,12,0.013,2,0.006,6,0.008,0,0,1,0.001,0,0
4,15,0.017,2,0.006,5,0.007,7,0.01,1,0.001,0,0
5,7,0.008,0,0,11,0.001,1,0.001,0,0,0,0
6B,68,0.075,28,0.083,28,0.038,22,0.031,8,0.011,2,0.011
7F,8,0.009,4,0.005,4,0.005,1,0.001,3,0.004,1,0.005
9V,14,0.015,13,0.039,14,0.019,7,0.01,6,0.008,0,0
14,72,0.079,15,0.045,26,0.035,21,0.03,15,0.021,1,0.005
18C,32,0.035,7,0.01,10,0.014,9,0.013,3,0.004,2,0.011
19F,82,0.09,26,0.077,20,0.027,19,0.027,15,0.021,0,0
23F,79,0.087,23,0.068,33,0.045,22,0.031,22,0.031,3,0.016
PCV10serotypes,389,0.43,120,0.36,157,0.21,109,0.15,74,0.10,9,0.05
3,19,0.021,4,0.012,21,0.029,13,0.018,22,0.031,5,0.026
6A,79,0.087,19,0.056,49,0.067,51,0.072,44,0.061,18,0.095
19A,26,0.029,8,0.024,40,0.054,29,0.041,65,0.09,11,0.058
22F,8,0.009,3,0.009,5,0.007,11,0.015,10,0.014,2,0.011
33F,0,0,0,0,0,0,0,0,0,0,0,0
8,12,0.013,1,0.003,6,0.008,3,0.004,10,0.014,1,0.005
10A,24,0.026,13,0.039,27,0.037,17,0.024,31,0.043,3,0.016
11A,43,0.047,15,0.045,51,0.069,22,0.031,26,0.036,13,0.069
12F,2,0.002,0,0,4,0.005,3,0.004,3,0.003,0,0
15B,67,0.074,14,0.042,52,0.071,46,0.065,33,0.046,13,0.069
Other,239,0.26,139,0.41,322,0.44,406,0.57,402,0.56,114,0.60
Total,908,1.00,336,1.00,734,1.00,710,1.00,720,1.00,189,1.00
